Curve,FAR,TPR,Threshold,AUC
Overall,0.0175,0.19666666666666666,0.9325562901908755,0.869575
Overall,0.0175,0.19833333333333333,0.9321982583833142,0.869575
Overall,0.0175,0.2,0.9321430374733759,0.869575
Overall,0.0175,0.20166666666666666,0.9319795523255392,0.869575
Overall,0.0175,0.20333333333333334,0.9315857693134085,0.869575
Overall,0.0175,0.205,0.9309717228235577,0.869575
Overall,0.0175,0.20666666666666667,0.9309698478612523,0.869575
Overall,0.0175,0.20833333333333334,0.9305220234002358,0.869575
Overall,0.0175,0.21,0.9304050859388711,0.869575
Overall,0.0175,0.21166666666666667,0.9303888817464533,0.869575
Overall,0.0175,0.21333333333333335,0.9297184524694782,0.869575
Overall,0.018125,0.21333333333333335,0.929489323724383,0.869575
Overall,0.01875,0.21333333333333335,0.9287344540246654,0.869575
Overall,0.01875,0.215,0.9273431431154627,0.869575
Overall,0.01875,0.21666666666666667,0.9272617944041451,0.869575
Overall,0.01875,0.21833333333333332,0.9272179682215338,0.869575
Overall,0.01875,0.22,0.9271482395457403,0.869575
Overall,0.01875,0.22166666666666668,0.926449629610846,0.869575
Overall,0.01875,0.22333333333333333,0.9255003464835897,0.869575
Overall,0.01875,0.225,0.9250872196014954,0.869575
Overall,0.01875,0.22666666666666666,0.925053907319652,0.869575
Overall,0.01875,0.22833333333333333,0.9248917401873569,0.869575
